"industry","FF_48","abnormal_returns_ev_avg","abnormal_returns_ev_avg1","abnormal_returns_ev_avg2","abnormal_returns_ev_avg3","abnormal_returns_ev_avg4","abnormal_returns_ev_avg5","abnormal_returns_ev_avg6","abnormal_returns_ev_avg7"
"Agric",1,0.0223874391785679,0.119095233829982,0.124330774438082,-0.196353214108993,0.435162962776012,0.162902109255975,-0.107997808027985,-0.380427983913097
"Food",2,0.0282021667275094,0.17266169673597,-0.277350879037984,0.235032682067606,0.335607575713833,0.0728112580577488,0.182906924328068,-0.524254090772675
"Soda",3,-0.0248379054856236,-0.507066618608924,-0.249330327837384,0.420712803630643,-0.148407591558789,0.119657474674774,0.212075711346044,-0.02150679004573
"Beer",4,-0.0842150562594024,0.0590355046639772,-0.562937855729481,0.421249636270984,0.211126485228088,-0.236328646141915,-0.278483967663595,-0.203166550443875
"Smoke",5,0.0492786617043611,0.0626400844848645,-0.767420837203273,0.754437274284912,0.0385467760672563,0.165702362256461,0.15782805740354,-0.0667830853632344
"Toys",6,0.329796108433261,0.330150134892698,0.0926432102319839,0.141604412383773,0.0228304609569852,0.673402742565917,0.558535165776629,0.489406632224843
"Fun",7,0.0736457546827656,0.665623609637175,0.305039375996833,-0.770141497972718,1.09080071986515,-0.00104538027985395,-0.599983834376144,-0.174772710091082
"Books",8,-0.0945530643640468,0.0756431327467313,0.180149672697291,-0.0952997957947752,0.203367269320241,-0.209292663092721,-0.94823439628918,0.131795329864086
"Hshld",9,-0.0495567194505752,-0.204504674261951,-0.331820287317388,0.317305910873467,-0.0972435628188713,-0.142012383739316,0.0421497803190878,0.0692281807909453
"Clths",10,-0.0638686814979999,-0.437145452787617,0.37111398010335,0.491201276928872,-0.0317548743228282,-0.539682670122853,-0.324204394161463,0.0233913638765404
"Hlth",11,0.180872556124622,0.666304785689344,-0.170646559767741,-0.148630523326662,0.266140392991524,0.0824785821639389,0.637856022102492,-0.0673948069805453
"MedEq",12,-0.0506758198694297,0.0185886651314475,0.0252451496032993,-0.12777762678818,0.124173445257967,0.0433002937115243,-0.351212782069662,-0.087047883932403
"Drugs",13,0.0451953699612756,-0.1142852173826,-0.402497799681306,0.109985960429237,0.152580737282394,0.451804629070867,0.115860137442174,0.00291914256816346
"Chems",14,-0.0643436056652989,0.0315274118039914,-0.0713804744367948,-0.250689944092819,-0.42754110780289,-0.278997959473657,0.42023119349932,0.126445640845757
"Rubbr",15,0.13595542529341,0.0666988915794252,-0.058672003861384,-0.00385969291670047,0.129401278692813,-0.100792977657208,0.558431352675206,0.360481128541715
"Txtls",16,-0.531131149643618,-0.650447570652725,-0.305966354982064,0.548356567062768,-0.238829672432396,0.121923304539379,-3.09283127623062,-0.100123044809669
"BldMt",17,-0.103777545030406,-0.235041895991781,0.400798847004806,-0.148343814391114,-0.369994514752197,-0.127682364942657,-0.0899363844252386,-0.15624268771466
"Cnstr",18,-0.239377074759932,-0.288227973939809,0.259063874398085,0.426662500092317,-0.77281341465938,-0.146881746305779,-0.734419016528743,-0.419023746376214
"Steel",19,0.0286234511418406,0.547628823884964,-0.39679184641526,0.0840385977415569,-0.547491400632444,-0.317987883995269,0.475831894739322,0.355135972670015
"FabPr",20,-0.0886492318165423,0.176744384852246,1.16968287029054,-0.296940935577498,-1.13654204623199,0.0929325711986921,-0.611556081194534,-0.014865386053253
"Mach",21,-0.134467177438332,-0.35809716070722,0.219645413694033,-0.34550310554419,-0.873111023761758,-0.223847662041986,0.227922638468342,0.411720657824457
"ElcEq",22,0.0793413800515265,-0.153574673046723,-0.0409536434334413,-0.0208950466385532,-0.282378616560799,0.155086332852837,0.68331524949427,0.214790057693095
"Autos",23,-0.110126809804666,-0.570212311237657,0.0834874623125341,0.554644369031705,-0.115529684419874,-0.618692415381008,-0.646357895466384,0.541772806528024
"Aero",24,-0.0878766669192977,-0.26328439727186,0.176842257911079,-0.132020725168571,-1.05155359739396,-0.17141922876631,0.291245826660823,0.535053195593711
"Ships",25,0.0683979648849376,0.170912627276163,0.602326468711735,-0.106795695073226,-0.247887933376478,0.0223277565416448,0.289342719282499,-0.251440189167775
"Guns",26,0.0494189639461948,-0.467927547413863,0.652801399531963,0.0325685176842463,-0.725583331985454,0.347817471053506,-0.100142012857486,0.606398251610451
"Gold",27,0.145643324763931,-0.622724588453825,1.20834947514805,-0.00140946470905379,-0.255983726235542,0.243738832144361,-0.296668828690332,0.744201574143864
"Mines",28,0.0469946679046981,0.0407953373715172,0.550126589843858,0.0305233894374574,-0.864647191307638,-0.508380395669785,0.435835914160867,0.64470903149661
"Coal",29,0.0368605797093135,1.26686523273072,0.84263673845868,-0.310394186244027,-0.349684233713586,-0.569549567581025,-0.108679128964451,-0.513170796721119
"Oil",30,0.206416132663087,-0.0369960913741245,1.07403420593914,-0.059389862115315,-0.200547540207949,-0.113220083963617,0.418913111017292,0.362119189346184
"Util",31,-0.0193892678662579,-0.134015046512819,-0.0994430087886403,-0.0328901593760847,0.576949315886711,-0.169813095059419,0.00883021786570035,-0.285343099079253
"Telcm",32,0.0480572824600794,-0.29211107658845,-0.322014003620536,0.246025270858105,0.352362876983755,0.173846834713735,0.116996000537239,0.0612950743367076
"PerSv",33,0.00743536054350186,-0.167451450103374,0.210581848748666,0.0715662337614382,0.0817622832129591,0.138293390062466,0.0118992222818409,-0.294604004159484
"BusSv",34,-0.0634027243858972,0.257452602402757,-0.024863622477938,-0.194218763616759,0.173920811018812,0.00587162968910142,-0.299381012423703,-0.36260071529355
"Hardw",35,-0.0543802397946413,0.434879450496202,0.10193757465852,-0.536335212292194,0.0842052102133069,-0.330160575397118,-0.133753970669009,-0.0014341555721968
"Softw",36,-0.027737008043094,0.170107054923829,-0.117741170328209,0.0366296998589397,0.257146467847465,0.150074498437875,-0.447852552661437,-0.24252305438012
"Chips",37,-0.039145134894486,0.236782346888196,0.320306511880084,-0.186180520372517,-0.413297967017712,-0.0366236632573355,-0.178938870453632,-0.0160637819284862
"LabEq",38,-0.0868722803812355,-0.221908352464571,-0.0149969347090777,-0.212795176251634,-0.426480798428298,-0.0677373083796436,0.332319001303303,0.00349360626127236
"Paper",39,-0.12818500059654,-0.469703964772928,-0.598919475092505,0.0781535896545866,-0.435204045065838,-0.0777861638074233,0.323998486458819,0.282166568449507
"Boxes",40,-0.0253254082105556,-0.099519959120502,0.121455721130732,0.00469747346809155,-0.684037850034818,-0.117557186099433,-0.113545724019567,0.711229667201607
"Trans",41,0.0142859341789446,-0.14589316498902,-0.0776918440531638,0.0551678674032332,-0.225828487844947,-0.0428908898859198,0.555181076761791,-0.0180430181393616
"Whlsl",42,-0.00658656447370668,0.106158993114097,-0.213273739982689,0.194424619469288,0.306378697036816,0.00796942944365106,-0.267902711498573,-0.179861238898536
"Rtail",43,-0.0620811963300844,-0.0463948202864021,0.35118901317115,-0.327117907284181,0.223632711605997,-0.106808342381417,-0.107279572708663,-0.421789456427074
"Meals",44,-0.0881069881046253,-0.452622315429001,0.0672648387308824,0.147706636854427,0.0142866963163468,0.0525090477840775,-0.265421821546735,-0.180471999442375
"Banks",45,0.0647884473596557,0.176815694019745,-0.157857930073817,0.0976876047798053,0.0206297335050566,-0.120746933091623,0.284951363844191,0.152039598534232
"Insur",46,0.137993410945947,-0.0608190133731797,-0.0554694261629644,0.259368163925467,0.089925774988322,0.213004025540409,0.202864036027621,0.317080315675953
"RlEst",47,0.0391499434793197,0.657291160522768,0.328078996259894,-0.140949993722443,-0.0290477340278911,-0.00453726118963008,-0.167071636351185,-0.369713927136275
"Fin",48,0.00329586111087101,0.23149839475217,-0.0034673102876304,-0.0950133065737097,-0.205299426786142,-0.33730029500854,0.0993296430282835,0.333323328651666
"Other",49,0.0188170598362711,-0.225892158596289,-0.200457405054016,0.139782611906679,-0.372135299686647,-0.00779088839358814,0.340130147329402,0.458082411348357
